Destination_Region;Country_Name;indicatorId;geoUnit;Year; Students_Outbound
;Bangladesh;OE.5T8.40505;BGD;2020;107
;Bangladesh;OE.5T8.40505;BGD;2021;100
;Bangladesh;OE.5T8.40505;BGD;2022;140
;Bangladesh;OE.5T8.40505;BGD;2023;157
;India;OE.5T8.40505;IND;2000;1103
;India;OE.5T8.40505;IND;2001;1272
;India;OE.5T8.40505;IND;2002;1021
;India;OE.5T8.40505;IND;2003;1003
;India;OE.5T8.40505;IND;2004;1330
;India;OE.5T8.40505;IND;2005;1643
;India;OE.5T8.40505;IND;2006;1991
;India;OE.5T8.40505;IND;2007;1628
;India;OE.5T8.40505;IND;2008;2260
;India;OE.5T8.40505;IND;2009;1637
;India;OE.5T8.40505;IND;2010;1582
;India;OE.5T8.40505;IND;2011;1820
;India;OE.5T8.40505;IND;2012;2216
;India;OE.5T8.40505;IND;2013;2848
;India;OE.5T8.40505;IND;2014;3921
;India;OE.5T8.40505;IND;2015;5290
;India;OE.5T8.40505;IND;2016;8188
;India;OE.5T8.40505;IND;2017;11108
;India;OE.5T8.40505;IND;2018;15233
;India;OE.5T8.40505;IND;2019;20024
;India;OE.5T8.40505;IND;2020;24268
;India;OE.5T8.40505;IND;2021;27882
;India;OE.5T8.40505;IND;2022;32777
;India;OE.5T8.40505;IND;2023;39809
;Sri Lanka;OE.5T8.40505;LKA;2000;8
;Sri Lanka;OE.5T8.40505;LKA;2001;7
;Sri Lanka;OE.5T8.40505;LKA;2002;84
;Sri Lanka;OE.5T8.40505;LKA;2003;0
;Sri Lanka;OE.5T8.40505;LKA;2004;0
;Sri Lanka;OE.5T8.40505;LKA;2005;0
;Sri Lanka;OE.5T8.40505;LKA;2006;0
;Sri Lanka;OE.5T8.40505;LKA;2007;0
;Sri Lanka;OE.5T8.40505;LKA;2008;2
;Sri Lanka;OE.5T8.40505;LKA;2009;2
;Sri Lanka;OE.5T8.40505;LKA;2010;28
;Sri Lanka;OE.5T8.40505;LKA;2011;0
;Sri Lanka;OE.5T8.40505;LKA;2012;133
;Sri Lanka;OE.5T8.40505;LKA;2013;211
;Sri Lanka;OE.5T8.40505;LKA;2014;222
;Sri Lanka;OE.5T8.40505;LKA;2015;231
;Sri Lanka;OE.5T8.40505;LKA;2016;205
;Sri Lanka;OE.5T8.40505;LKA;2017;171
;Sri Lanka;OE.5T8.40505;LKA;2018;151
;Sri Lanka;OE.5T8.40505;LKA;2019;181
;Sri Lanka;OE.5T8.40505;LKA;2020;272
;Sri Lanka;OE.5T8.40505;LKA;2021;243
;Sri Lanka;OE.5T8.40505;LKA;2022;323
;Sri Lanka;OE.5T8.40505;LKA;2023;472
;Nepal;OE.5T8.40505;NPL;2000;18
;Nepal;OE.5T8.40505;NPL;2001;4
;Nepal;OE.5T8.40505;NPL;2002;28
;Nepal;OE.5T8.40505;NPL;2003;21
